player_name,team,position,league,season,games,minutes,goals,assists,xG,xA,npg,npxG,shots,key_passes,xGChain,xGBuildup,goals_p90,assists_p90,xG_p90,xA_p90,npg_p90,npxG_p90,shots_p90,key_passes_p90,xGChain_p90,xGBuildup_p90,goal_conversion,xG_overperf,xA_overperf
Ferrán Torres,Manchester City,F M S,Premier League,2020,24,1305,7,2,5.73,2.2,7,5.73,36,18,10.0,2.96,0.4828,0.1379,0.3951,0.1519,0.4828,0.3951,2.4828,1.2414,0.6899,0.204,0.1944,0.0877,-0.014
Mason Greenwood,Manchester United,F M S,Premier League,2020,31,1825,7,2,6.98,2.43,7,6.98,67,14,14.03,5.95,0.3452,0.0986,0.344,0.1197,0.3452,0.344,3.3041,0.6904,0.692,0.2936,0.1045,0.0012,-0.0211
Timo Werner,Chelsea,F M S,Premier League,2020,35,2605,6,8,13.43,6.67,6,13.43,80,36,20.53,5.24,0.2073,0.2764,0.4641,0.2303,0.2073,0.4641,2.7639,1.2438,0.7094,0.1811,0.075,-0.2568,0.046
Kevin De Bruyne,Manchester City,M S,Premier League,2020,25,2008,6,12,9.98,10.96,4,7.7,81,79,22.52,11.3,0.2689,0.5378,0.4475,0.4912,0.1793,0.3451,3.6305,3.5408,1.0092,0.5063,0.0741,-0.1785,0.0467
Danny Welbeck,Brighton,F M S,Premier League,2020,24,1551,6,1,7.38,3.23,6,6.62,35,22,10.27,1.48,0.3482,0.058,0.4283,0.1875,0.3482,0.3841,2.0309,1.2766,0.5957,0.0857,0.1714,-0.0801,-0.1295
Jack Grealish,Aston Villa,F M S,Premier League,2020,26,2187,6,10,5.19,9.33,6,5.19,50,81,17.49,6.97,0.2469,0.4115,0.2137,0.3841,0.2469,0.2137,2.0576,3.3333,0.7196,0.2869,0.12,0.0332,0.0274
Tammy Abraham,Chelsea,F S,Premier League,2020,22,1027,6,1,6.19,0.72,6,6.19,32,9,7.9,2.12,0.5258,0.0876,0.5424,0.0632,0.5258,0.5424,2.8043,0.7887,0.6924,0.186,0.1875,-0.0166,0.0244
Gylfi Sigurdsson,Everton,F M S,Premier League,2020,36,2250,6,5,6.4,4.84,3,3.36,49,44,8.48,3.66,0.24,0.2,0.2562,0.1935,0.12,0.1344,1.96,1.76,0.339,0.1464,0.1224,-0.0162,0.0065
James Rodríguez,Everton,F M S,Premier League,2020,23,1802,6,4,3.36,5.44,6,3.36,37,40,12.03,7.1,0.2997,0.1998,0.168,0.2717,0.2997,0.168,1.8479,1.9978,0.601,0.3548,0.1622,0.1317,-0.0719
Youri Tielemans,Leicester,M S,Premier League,2020,38,3359,6,4,4.17,3.31,4,2.65,48,49,18.98,14.95,0.1608,0.1072,0.1117,0.0887,0.1072,0.0709,1.2861,1.3129,0.5084,0.4004,0.125,0.0491,0.0184
Mason Mount,Chelsea,F M S,Premier League,2020,36,2891,6,5,6.88,9.85,5,6.12,82,87,21.7,12.44,0.1868,0.1557,0.2143,0.3066,0.1557,0.1906,2.5527,2.7084,0.6754,0.3874,0.0732,-0.0275,-0.1509
Raphinha,Leeds,M S,Premier League,2020,30,2369,6,9,6.22,9.52,6,6.22,67,65,16.79,6.68,0.2279,0.3419,0.2363,0.3619,0.2279,0.2363,2.5454,2.4694,0.638,0.2538,0.0896,-0.0083,-0.0199
Kurt Zouma,Chelsea,D S,Premier League,2020,24,2024,5,0,3.14,0.08,5,3.14,27,4,6.22,6.13,0.2223,0.0,0.1395,0.0036,0.2223,0.1395,1.2006,0.1779,0.2764,0.2727,0.1852,0.0828,-0.0036
Pablo Fornals,West Ham,F M S,Premier League,2020,33,2603,5,4,6.75,2.53,5,6.75,50,31,16.32,8.43,0.1729,0.1383,0.2334,0.0876,0.1729,0.2334,1.7288,1.0718,0.5643,0.2914,0.1,-0.0605,0.0507
Callum Robinson,West Bromwich Albion,F M S,Premier League,2020,28,1580,5,0,3.2,1.05,5,3.2,31,16,5.22,1.6,0.2848,0.0,0.1825,0.0598,0.2848,0.1825,1.7658,0.9114,0.2971,0.0909,0.1613,0.1024,-0.0598
Lewis Dunk,Brighton,D,Premier League,2020,33,2934,5,0,2.71,0.83,5,2.71,32,10,8.38,7.97,0.1534,0.0,0.0831,0.0255,0.1534,0.0831,0.9816,0.3067,0.2569,0.2445,0.1562,0.0703,-0.0255
Pedro Neto,Wolverhampton Wanderers,F M S,Premier League,2020,31,2570,5,6,5.49,5.74,5,5.49,62,61,11.52,4.21,0.1751,0.2101,0.1924,0.201,0.1751,0.1924,2.1712,2.1362,0.4033,0.1473,0.0806,-0.0173,0.0092
Bobby Reid,Fulham,D F M S,Premier League,2020,33,2394,5,2,4.27,1.31,5,4.27,34,14,8.2,3.13,0.188,0.0752,0.1605,0.0492,0.188,0.1605,1.2782,0.5263,0.3084,0.1177,0.1471,0.0274,0.026
Rúben Neves,Wolverhampton Wanderers,M S,Premier League,2020,36,2681,5,1,4.74,2.06,2,2.46,67,33,7.0,4.67,0.1678,0.0336,0.1593,0.0692,0.0671,0.0826,2.2492,1.1078,0.2348,0.1569,0.0746,0.0086,-0.0356
Bukayo Saka,Arsenal,D F M S,Premier League,2020,32,2577,5,3,7.17,4.51,5,7.17,61,38,18.29,9.18,0.1746,0.1048,0.2504,0.1576,0.1746,0.2504,2.1304,1.3271,0.6389,0.3206,0.082,-0.0758,-0.0528
Leandro Trossard,Brighton,F M S,Premier League,2020,35,2647,5,5,5.41,5.4,5,5.41,58,51,16.0,7.63,0.17,0.17,0.184,0.1836,0.17,0.184,1.972,1.734,0.544,0.2595,0.0862,-0.014,-0.0135
Joelinton,Newcastle United,F M S,Premier League,2020,31,2006,4,2,5.63,2.37,3,4.87,43,17,9.27,3.28,0.1795,0.0897,0.2526,0.1062,0.1346,0.2185,1.9292,0.7627,0.4158,0.1474,0.093,-0.0732,-0.0164
